"","av","Time","SharePerHour"
"1","Cultural leisure",1,0.02
"2","Domestic work",1,0.02
"3","Eat drink",1,0.2
"4","Miscellaneous",1,18.84
"5","Nonsocial leisure",1,0.1
"6","Paid work",1,0.02
"7","Personal care",1,80.26
"8","Religion and volunteering",1,0.05
"9","Social leisure",1,0.2
"10","TV/radio",1,0.27
"11","Cultural leisure",2,0.02
"12","Domestic work",2,0.02
"13","Eat drink",2,0.2
"14","Miscellaneous",2,18.82
"15","Nonsocial leisure",2,0.1
"16","Paid work",2,0.02
"17","Personal care",2,80.29
"18","Religion and volunteering",2,0.05
"19","Social leisure",2,0.2
"20","TV/radio",2,0.27
"21","Cultural leisure",3,0.02
"22","Domestic work",3,0.02
"23","Eat drink",3,0.2
"24","Miscellaneous",3,18.79
"25","Nonsocial leisure",3,0.1
"26","Paid work",3,0.02
"27","Personal care",3,80.31
"28","Religion and volunteering",3,0.05
"29","Social leisure",3,0.2
"30","TV/radio",3,0.27
"31","Cultural leisure",4,0.02
"32","Domestic work",4,0.02
"33","Eat drink",4,0.2
"34","Miscellaneous",4,18.79
"35","Nonsocial leisure",4,0.1
"36","Paid work",4,0.02
"37","Personal care",4,80.31
"38","Religion and volunteering",4,0.05
"39","Social leisure",4,0.2
"40","TV/radio",4,0.27
"41","Cultural leisure",5,0.02
"42","Domestic work",5,0.02
"43","Eat drink",5,0.2
"44","Miscellaneous",5,18.79
"45","Nonsocial leisure",5,0.1
"46","Paid work",5,0.02
"47","Personal care",5,80.31
"48","Religion and volunteering",5,0.05
"49","Social leisure",5,0.2
"50","TV/radio",5,0.27
"51","Cultural leisure",6,0.05
"52","Domestic work",6,0.02
"53","Eat drink",6,0.22
"54","Miscellaneous",6,18.55
"55","Nonsocial leisure",6,0.1
"56","Paid work",6,0.07
"57","Personal care",6,80.44
"58","Religion and volunteering",6,0.05
"59","Social leisure",6,0.2
"60","TV/radio",6,0.3
"61","Cultural leisure",7,0.05
"62","Domestic work",7,0.02
"63","Eat drink",7,0.22
"64","Miscellaneous",7,18.55
"65","Nonsocial leisure",7,0.1
"66","Paid work",7,0.07
"67","Personal care",7,80.44
"68","Religion and volunteering",7,0.05
"69","Social leisure",7,0.2
"70","TV/radio",7,0.3
"71","Cultural leisure",8,0.05
"72","Domestic work",8,0.02
"73","Eat drink",8,0.22
"74","Miscellaneous",8,18.5
"75","Nonsocial leisure",8,0.1
"76","Paid work",8,0.07
"77","Personal care",8,80.49
"78","Religion and volunteering",8,0.05
"79","Social leisure",8,0.2
"80","TV/radio",8,0.3
"81","Cultural leisure",9,0.05
"82","Domestic work",9,0.02
"83","Eat drink",9,0.22
"84","Miscellaneous",9,18.5
"85","Nonsocial leisure",9,0.1
"86","Paid work",9,0.07
"87","Personal care",9,80.49
"88","Religion and volunteering",9,0.05
"89","Social leisure",9,0.2
"90","TV/radio",9,0.3
"91","Cultural leisure",10,0.05
"92","Domestic work",10,0.02
"93","Eat drink",10,0.22
"94","Miscellaneous",10,18.5
"95","Nonsocial leisure",10,0.1
"96","Paid work",10,0.07
"97","Personal care",10,80.49
"98","Religion and volunteering",10,0.05
"99","Social leisure",10,0.2
"100","TV/radio",10,0.3
"101","Cultural leisure",11,0.07
"102","Domestic work",11,0.02
"103","Eat drink",11,0.22
"104","Miscellaneous",11,18.03
"105","Nonsocial leisure",11,0.12
"106","Paid work",11,0.07
"107","Personal care",11,80.86
"108","Religion and volunteering",11,0.05
"109","Social leisure",11,0.2
"110","TV/radio",11,0.35
"111","Cultural leisure",12,0.07
"112","Domestic work",12,0.02
"113","Eat drink",12,0.22
"114","Miscellaneous",12,18.03
"115","Nonsocial leisure",12,0.12
"116","Paid work",12,0.07
"117","Personal care",12,80.86
"118","Religion and volunteering",12,0.05
"119","Social leisure",12,0.2
"120","TV/radio",12,0.35
"121","Cultural leisure",13,0.07
"122","Domestic work",13,0.02
"123","Eat drink",13,0.22
"124","Miscellaneous",13,18
"125","Nonsocial leisure",13,0.12
"126","Paid work",13,0.07
"127","Personal care",13,80.88
"128","Religion and volunteering",13,0.05
"129","Social leisure",13,0.2
"130","TV/radio",13,0.35
"131","Cultural leisure",14,0.07
"132","Domestic work",14,0.02
"133","Eat drink",14,0.22
"134","Miscellaneous",14,18
"135","Nonsocial leisure",14,0.12
"136","Paid work",14,0.07
"137","Personal care",14,80.88
"138","Religion and volunteering",14,0.05
"139","Social leisure",14,0.2
"140","TV/radio",14,0.35
"141","Cultural leisure",15,0.07
"142","Domestic work",15,0.02
"143","Eat drink",15,0.22
"144","Miscellaneous",15,18
"145","Nonsocial leisure",15,0.12
"146","Paid work",15,0.07
"147","Personal care",15,80.88
"148","Religion and volunteering",15,0.05
"149","Social leisure",15,0.2
"150","TV/radio",15,0.35
"151","Cultural leisure",16,0.07
"152","Domestic work",16,0.02
"153","Eat drink",16,0.22
"154","Miscellaneous",16,17.58
"155","Nonsocial leisure",16,0.17
"156","Paid work",16,0.05
"157","Personal care",16,81.21
"158","Religion and volunteering",16,0.05
"159","Social leisure",16,0.25
"160","TV/radio",16,0.37
"161","Cultural leisure",17,0.07
"162","Domestic work",17,0.02
"163","Eat drink",17,0.22
"164","Miscellaneous",17,17.58
"165","Nonsocial leisure",17,0.17
"166","Paid work",17,0.05
"167","Personal care",17,81.21
"168","Religion and volunteering",17,0.05
"169","Social leisure",17,0.25
"170","TV/radio",17,0.37
"171","Cultural leisure",18,0.07
"172","Domestic work",18,0.02
"173","Eat drink",18,0.22
"174","Miscellaneous",18,17.58
"175","Nonsocial leisure",18,0.17
"176","Paid work",18,0.05
"177","Personal care",18,81.21
"178","Religion and volunteering",18,0.05
"179","Social leisure",18,0.25
"180","TV/radio",18,0.37
"181","Cultural leisure",19,0.07
"182","Domestic work",19,0.02
"183","Eat drink",19,0.22
"184","Miscellaneous",19,17.58
"185","Nonsocial leisure",19,0.17
"186","Paid work",19,0.05
"187","Personal care",19,81.21
"188","Religion and volunteering",19,0.05
"189","Social leisure",19,0.25
"190","TV/radio",19,0.37
"191","Cultural leisure",20,0.07
"192","Domestic work",20,0.02
"193","Eat drink",20,0.22
"194","Miscellaneous",20,17.58
"195","Nonsocial leisure",20,0.17
"196","Paid work",20,0.05
"197","Personal care",20,81.21
"198","Religion and volunteering",20,0.05
"199","Social leisure",20,0.25
"200","TV/radio",20,0.37
"201","Cultural leisure",21,0.1
"202","Domestic work",21,0.02
"203","Eat drink",21,0.27
"204","Miscellaneous",21,17.46
"205","Nonsocial leisure",21,0.17
"206","Paid work",21,0.05
"207","Personal care",21,81.3
"208","Religion and volunteering",21,0.05
"209","Social leisure",21,0.2
"210","TV/radio",21,0.37
"211","Cultural leisure",22,0.1
"212","Domestic work",22,0.02
"213","Eat drink",22,0.27
"214","Miscellaneous",22,17.46
"215","Nonsocial leisure",22,0.17
"216","Paid work",22,0.05
"217","Personal care",22,81.3
"218","Religion and volunteering",22,0.05
"219","Social leisure",22,0.2
"220","TV/radio",22,0.37
"221","Cultural leisure",23,0.1
"222","Domestic work",23,0.02
"223","Eat drink",23,0.27
"224","Miscellaneous",23,17.46
"225","Nonsocial leisure",23,0.17
"226","Paid work",23,0.05
"227","Personal care",23,81.3
"228","Religion and volunteering",23,0.05
"229","Social leisure",23,0.2
"230","TV/radio",23,0.37
"231","Cultural leisure",24,0.1
"232","Domestic work",24,0.02
"233","Eat drink",24,0.27
"234","Miscellaneous",24,17.46
"235","Nonsocial leisure",24,0.17
"236","Paid work",24,0.05
"237","Personal care",24,81.3
"238","Religion and volunteering",24,0.05
"239","Social leisure",24,0.2
"240","TV/radio",24,0.37
"241","Cultural leisure",25,0.1
"242","Domestic work",25,0.02
"243","Eat drink",25,0.27
"244","Miscellaneous",25,17.46
"245","Nonsocial leisure",25,0.17
"246","Paid work",25,0.05
"247","Personal care",25,81.3
"248","Religion and volunteering",25,0.05
"249","Social leisure",25,0.2
"250","TV/radio",25,0.37
"251","Cultural leisure",26,0.1
"252","Domestic work",26,0.02
"253","Eat drink",26,0.3
"254","Miscellaneous",26,17.36
"255","Nonsocial leisure",26,0.15
"256","Paid work",26,0.05
"257","Personal care",26,81.4
"258","Religion and volunteering",26,0.05
"259","Social leisure",26,0.2
"260","TV/radio",26,0.37
"261","Cultural leisure",27,0.1
"262","Domestic work",27,0.02
"263","Eat drink",27,0.3
"264","Miscellaneous",27,17.36
"265","Nonsocial leisure",27,0.15
"266","Paid work",27,0.05
"267","Personal care",27,81.4
"268","Religion and volunteering",27,0.05
"269","Social leisure",27,0.2
"270","TV/radio",27,0.37
"271","Cultural leisure",28,0.1
"272","Domestic work",28,0.02
"273","Eat drink",28,0.3
"274","Miscellaneous",28,17.36
"275","Nonsocial leisure",28,0.15
"276","Paid work",28,0.05
"277","Personal care",28,81.4
"278","Religion and volunteering",28,0.05
"279","Social leisure",28,0.2
"280","TV/radio",28,0.37
"281","Cultural leisure",29,0.1
"282","Domestic work",29,0.02
"283","Eat drink",29,0.3
"284","Miscellaneous",29,17.36
"285","Nonsocial leisure",29,0.15
"286","Paid work",29,0.05
"287","Personal care",29,81.4
"288","Religion and volunteering",29,0.05
"289","Social leisure",29,0.2
"290","TV/radio",29,0.37
"291","Cultural leisure",30,0.1
"292","Domestic work",30,0.02
"293","Eat drink",30,0.3
"294","Miscellaneous",30,17.36
"295","Nonsocial leisure",30,0.15
"296","Paid work",30,0.05
"297","Personal care",30,81.4
"298","Religion and volunteering",30,0.05
"299","Social leisure",30,0.2
"300","TV/radio",30,0.37
"301","Cultural leisure",31,0.07
"302","Domestic work",31,0.07
"303","Eat drink",31,0.22
"304","Miscellaneous",31,16.61
"305","Nonsocial leisure",31,0.27
"306","Personal care",31,82.12
"307","Religion and volunteering",31,0.05
"308","Social leisure",31,0.17
"309","TV/radio",31,0.4
"310","Cultural leisure",32,0.07
"311","Domestic work",32,0.07
"312","Eat drink",32,0.22
"313","Miscellaneous",32,16.61
"314","Nonsocial leisure",32,0.27
"315","Personal care",32,82.12
"316","Religion and volunteering",32,0.05
"317","Social leisure",32,0.17
"318","TV/radio",32,0.4
"319","Cultural leisure",33,0.05
"320","Domestic work",33,0.07
"321","Eat drink",33,0.22
"322","Miscellaneous",33,16.61
"323","Nonsocial leisure",33,0.27
"324","Personal care",33,82.15
"325","Religion and volunteering",33,0.05
"326","Social leisure",33,0.17
"327","TV/radio",33,0.4
"328","Cultural leisure",34,0.05
"329","Domestic work",34,0.07
"330","Eat drink",34,0.22
"331","Miscellaneous",34,16.61
"332","Nonsocial leisure",34,0.27
"333","Personal care",34,82.15
"334","Religion and volunteering",34,0.05
"335","Social leisure",34,0.17
"336","TV/radio",34,0.4
"337","Cultural leisure",35,0.05
"338","Domestic work",35,0.07
"339","Eat drink",35,0.22
"340","Miscellaneous",35,16.61
"341","Nonsocial leisure",35,0.27
"342","Personal care",35,82.15
"343","Religion and volunteering",35,0.05
"344","Social leisure",35,0.17
"345","TV/radio",35,0.4
"346","Cultural leisure",36,0.02
"347","Domestic work",36,0.07
"348","Eat drink",36,0.22
"349","Miscellaneous",36,16.56
"350","Nonsocial leisure",36,0.3
"351","Paid work",36,0.02
"352","Personal care",36,82.17
"353","Religion and volunteering",36,0.05
"354","Social leisure",36,0.17
"355","TV/radio",36,0.4
"356","Cultural leisure",37,0.02
"357","Domestic work",37,0.07
"358","Eat drink",37,0.25
"359","Miscellaneous",37,16.56
"360","Nonsocial leisure",37,0.3
"361","Paid work",37,0.02
"362","Personal care",37,82.15
"363","Religion and volunteering",37,0.05
"364","Social leisure",37,0.17
"365","TV/radio",37,0.4
"366","Cultural leisure",38,0.02
"367","Domestic work",38,0.07
"368","Eat drink",38,0.25
"369","Miscellaneous",38,16.56
"370","Nonsocial leisure",38,0.3
"371","Paid work",38,0.02
"372","Personal care",38,82.15
"373","Religion and volunteering",38,0.05
"374","Social leisure",38,0.17
"375","TV/radio",38,0.4
"376","Cultural leisure",39,0.02
"377","Domestic work",39,0.07
"378","Eat drink",39,0.25
"379","Miscellaneous",39,16.56
"380","Nonsocial leisure",39,0.3
"381","Paid work",39,0.02
"382","Personal care",39,82.15
"383","Religion and volunteering",39,0.05
"384","Social leisure",39,0.17
"385","TV/radio",39,0.4
"386","Cultural leisure",40,0.02
"387","Domestic work",40,0.07
"388","Eat drink",40,0.25
"389","Miscellaneous",40,16.56
