"","Time","diaryday","av","n","tot","SharePerHour","SEX"
"1",1,"1","Cultural leisure",1,1790,0.06,"boys"
"2",1,"1","Domestic work",1,1790,0.06,"boys"
"3",1,"1","Eat drink",4,1790,0.22,"boys"
"4",1,"1","Miscellaneous",321,1790,17.93,"boys"
"5",1,"1","Nonsocial leisure",1,1790,0.06,"boys"
"6",1,"1","Paid work",1,1790,0.06,"boys"
"7",1,"1","Personal care",1448,1790,80.89,"boys"
"8",1,"1","Religion and volunteering",1,1790,0.06,"boys"
"9",1,"1","Social leisure",4,1790,0.22,"boys"
"10",1,"1","TV/radio",8,1790,0.45,"boys"
"11",1,"2","Cultural leisure",2,1790,0.11,"boys"
"12",1,"2","Domestic work",4,1790,0.22,"boys"
"13",1,"2","Eat drink",16,1790,0.89,"boys"
"14",1,"2","Miscellaneous",702,1790,39.22,"boys"
"15",1,"2","Nonsocial leisure",14,1790,0.78,"boys"
"16",1,"2","Paid work",4,1790,0.22,"boys"
"17",1,"2","Personal care",1020,1790,56.98,"boys"
"18",1,"2","Religion and volunteering",1,1790,0.06,"boys"
"19",1,"2","Social leisure",8,1790,0.45,"boys"
"20",1,"2","Sport exercise",1,1790,0.06,"boys"
"21",1,"2","TV/radio",18,1790,1.01,"boys"
"22",1,"3","Cultural leisure",3,1790,0.17,"boys"
"23",1,"3","Domestic work",5,1790,0.28,"boys"
"24",1,"3","Eat drink",8,1790,0.45,"boys"
"25",1,"3","Miscellaneous",797,1790,44.53,"boys"
"26",1,"3","Nonsocial leisure",26,1790,1.45,"boys"
"27",1,"3","Personal care",914,1790,51.06,"boys"
"28",1,"3","School / Study",1,1790,0.06,"boys"
"29",1,"3","Social leisure",11,1790,0.61,"boys"
"30",1,"3","Sport exercise",5,1790,0.28,"boys"
"31",1,"3","TV/radio",20,1790,1.12,"boys"
"32",1,"4","Cultural leisure",1,1790,0.06,"boys"
"33",1,"4","Domestic work",1,1790,0.06,"boys"
"34",1,"4","Eat drink",6,1790,0.34,"boys"
"35",1,"4","Miscellaneous",560,1790,31.28,"boys"
"36",1,"4","Nonsocial leisure",3,1790,0.17,"boys"
"37",1,"4","Personal care",1211,1790,67.65,"boys"
"38",1,"4","Religion and volunteering",1,1790,0.06,"boys"
"39",1,"4","Social leisure",2,1790,0.11,"boys"
"40",1,"4","TV/radio",5,1790,0.28,"boys"
"41",2,"1","Cultural leisure",1,1790,0.06,"boys"
"42",2,"1","Domestic work",1,1790,0.06,"boys"
"43",2,"1","Eat drink",4,1790,0.22,"boys"
"44",2,"1","Miscellaneous",320,1790,17.88,"boys"
"45",2,"1","Nonsocial leisure",1,1790,0.06,"boys"
"46",2,"1","Paid work",1,1790,0.06,"boys"
"47",2,"1","Personal care",1449,1790,80.95,"boys"
"48",2,"1","Religion and volunteering",1,1790,0.06,"boys"
"49",2,"1","Social leisure",4,1790,0.22,"boys"
"50",2,"1","TV/radio",8,1790,0.45,"boys"
"51",2,"2","Cultural leisure",3,1790,0.17,"boys"
"52",2,"2","Domestic work",4,1790,0.22,"boys"
"53",2,"2","Eat drink",16,1790,0.89,"boys"
"54",2,"2","Miscellaneous",701,1790,39.16,"boys"
"55",2,"2","Nonsocial leisure",14,1790,0.78,"boys"
"56",2,"2","Paid work",4,1790,0.22,"boys"
