"","av","Time","SharePerHour","diaryday"
"1","Cultural leisure",1,0.02,"1"
"2","Cultural leisure",1,0.2,"2"
"3","Cultural leisure",1,0.1,"3"
"4","Cultural leisure",1,0.07,"4"
"5","Domestic work",1,0.02,"1"
"6","Domestic work",1,0.2,"2"
"7","Domestic work",1,0.2,"3"
"8","Domestic work",1,0.05,"4"
"9","Eat drink",1,0.2,"1"
"10","Eat drink",1,0.64,"2"
"11","Eat drink",1,0.5,"3"
"12","Eat drink",1,0.25,"4"
"13","Miscellaneous",1,18.84,"1"
"14","Miscellaneous",1,39.13,"2"
"15","Miscellaneous",1,45.35,"3"
"16","Miscellaneous",1,29.61,"4"
"17","Nonsocial leisure",1,0.1,"1"
"18","Nonsocial leisure",1,0.72,"2"
"19","Nonsocial leisure",1,1.24,"3"
"20","Nonsocial leisure",1,0.17,"4"
"21","Paid work",1,0.02,"1"
"22","Paid work",1,0.15,"2"
"23","Paid work",1,0.07,"3"
"24","Personal care",1,80.26,"1"
"25","Personal care",1,57.62,"2"
"26","Personal care",1,50.53,"3"
"27","Personal care",1,69.15,"4"
"28","Religion and volunteering",1,0.05,"1"
"29","Religion and volunteering",1,0.02,"2"
"30","Religion and volunteering",1,0.02,"3"
"31","Religion and volunteering",1,0.05,"4"
"32","School / Study",1,0.02,"3"
"33","Social leisure",1,0.2,"1"
"34","Social leisure",1,0.52,"2"
"35","Social leisure",1,0.92,"3"
"36","Social leisure",1,0.25,"4"
"37","Sport exercise",1,0.05,"2"
"38","Sport exercise",1,0.17,"3"
"39","Sport exercise",1,0.02,"4"
"40","TV/radio",1,0.27,"1"
"41","TV/radio",1,0.74,"2"
"42","TV/radio",1,0.87,"3"
"43","TV/radio",1,0.37,"4"
"44","Cultural leisure",2,0.02,"1"
"45","Cultural leisure",2,0.25,"2"
"46","Cultural leisure",2,0.1,"3"
"47","Cultural leisure",2,0.1,"4"
"48","Domestic work",2,0.02,"1"
"49","Domestic work",2,0.2,"2"
"50","Domestic work",2,0.2,"3"
"51","Domestic work",2,0.05,"4"
"52","Eat drink",2,0.2,"1"
"53","Eat drink",2,0.64,"2"
"54","Eat drink",2,0.5,"3"
"55","Eat drink",2,0.25,"4"
"56","Miscellaneous",2,18.82,"1"
"57","Miscellaneous",2,39.08,"2"
"58","Miscellaneous",2,45.28,"3"
"59","Miscellaneous",2,29.58,"4"
"60","Nonsocial leisure",2,0.1,"1"
"61","Nonsocial leisure",2,0.72,"2"
"62","Nonsocial leisure",2,1.26,"3"
"63","Nonsocial leisure",2,0.17,"4"
"64","Paid work",2,0.02,"1"
