"","Time","diaryday","av","n","tot","SharePerHour","SEX"
"1",1,"1","Eat drink",4,2243,0.18,"girls"
"2",1,"1","Miscellaneous",439,2243,19.57,"girls"
"3",1,"1","Nonsocial leisure",3,2243,0.13,"girls"
"4",1,"1","Personal care",1789,2243,79.76,"girls"
"5",1,"1","Religion and volunteering",1,2243,0.04,"girls"
"6",1,"1","Social leisure",4,2243,0.18,"girls"
"7",1,"1","TV/radio",3,2243,0.13,"girls"
"8",1,"2","Cultural leisure",6,2243,0.27,"girls"
"9",1,"2","Domestic work",4,2243,0.18,"girls"
"10",1,"2","Eat drink",10,2243,0.45,"girls"
"11",1,"2","Miscellaneous",876,2243,39.05,"girls"
"12",1,"2","Nonsocial leisure",15,2243,0.67,"girls"
"13",1,"2","Paid work",2,2243,0.09,"girls"
"14",1,"2","Personal care",1304,2243,58.14,"girls"
"15",1,"2","Social leisure",13,2243,0.58,"girls"
"16",1,"2","Sport exercise",1,2243,0.04,"girls"
"17",1,"2","TV/radio",12,2243,0.53,"girls"
"18",1,"3","Cultural leisure",1,2243,0.04,"girls"
"19",1,"3","Domestic work",3,2243,0.13,"girls"
"20",1,"3","Eat drink",12,2243,0.53,"girls"
"21",1,"3","Miscellaneous",1032,2243,46.01,"girls"
"22",1,"3","Nonsocial leisure",24,2243,1.07,"girls"
"23",1,"3","Paid work",3,2243,0.13,"girls"
"24",1,"3","Personal care",1124,2243,50.11,"girls"
"25",1,"3","Religion and volunteering",1,2243,0.04,"girls"
"26",1,"3","Social leisure",26,2243,1.16,"girls"
"27",1,"3","Sport exercise",2,2243,0.09,"girls"
"28",1,"3","TV/radio",15,2243,0.67,"girls"
"29",1,"4","Cultural leisure",2,2243,0.09,"girls"
"30",1,"4","Domestic work",1,2243,0.04,"girls"
"31",1,"4","Eat drink",4,2243,0.18,"girls"
"32",1,"4","Miscellaneous",634,2243,28.27,"girls"
"33",1,"4","Nonsocial leisure",4,2243,0.18,"girls"
"34",1,"4","Personal care",1578,2243,70.35,"girls"
"35",1,"4","Religion and volunteering",1,2243,0.04,"girls"
"36",1,"4","Social leisure",8,2243,0.36,"girls"
"37",1,"4","Sport exercise",1,2243,0.04,"girls"
"38",1,"4","TV/radio",10,2243,0.45,"girls"
"39",2,"1","Eat drink",4,2243,0.18,"girls"
"40",2,"1","Miscellaneous",439,2243,19.57,"girls"
"41",2,"1","Nonsocial leisure",3,2243,0.13,"girls"
"42",2,"1","Personal care",1789,2243,79.76,"girls"
"43",2,"1","Religion and volunteering",1,2243,0.04,"girls"
"44",2,"1","Social leisure",4,2243,0.18,"girls"
"45",2,"1","TV/radio",3,2243,0.13,"girls"
"46",2,"2","Cultural leisure",7,2243,0.31,"girls"
"47",2,"2","Domestic work",4,2243,0.18,"girls"
"48",2,"2","Eat drink",10,2243,0.45,"girls"
"49",2,"2","Miscellaneous",875,2243,39.01,"girls"
"50",2,"2","Nonsocial leisure",15,2243,0.67,"girls"
"51",2,"2","Paid work",2,2243,0.09,"girls"
"52",2,"2","Personal care",1304,2243,58.14,"girls"
"53",2,"2","Social leisure",13,2243,0.58,"girls"
"54",2,"2","Sport exercise",1,2243,0.04,"girls"
"55",2,"2","TV/radio",12,2243,0.53,"girls"
"56",2,"3","Cultural leisure",1,2243,0.04,"girls"
"57",2,"3","Domestic work",3,2243,0.13,"girls"
"58",2,"3","Eat drink",12,2243,0.53,"girls"
"59",2,"3","Miscellaneous",1032,2243,46.01,"girls"
"60",2,"3","Nonsocial leisure",24,2243,1.07,"girls"
"61",2,"3","Paid work",3,2243,0.13,"girls"
"62",2,"3","Personal care",1124,2243,50.11,"girls"
"63",2,"3","Religion and volunteering",1,2243,0.04,"girls"
"64",2,"3","Social leisure",26,2243,1.16,"girls"
"65",2,"3","Sport exercise",2,2243,0.09,"girls"
"66",2,"3","TV/radio",15,2243,0.67,"girls"
"67",2,"4","Cultural leisure",3,2243,0.13,"girls"
"68",2,"4","Domestic work",1,2243,0.04,"girls"
